Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
28,I,as CF,1913,1684,,7136,6233,851,1716,232,108,39,599,332,247,677,693,.275,.347,.366,.713,2281,63,36,130,60,21,144,.302,,
29,I,as Infield,1913,1684,,34314,30431,3645,8011,1110,436,167,3369,1269,889,2645,2859,.263,.325,.345,.670,10494,419,278,654,306,87,792,.283,,
30,I,as 3B,1913,1684,,7014,6220,798,1659,246,83,36,703,320,223,542,558,.267,.329,.350,.679,2179,82,66,123,63,16,145,.285,,
31,I,as C,1913,1684,,6249,5632,490,1425,196,75,20,571,122,88,435,612,.253,.309,.325,.635,1831,89,47,86,49,38,136,.278,,
32,I,Other,1913,1,,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,,
33,I,as 3B,1914,3680,,15173,13414,1582,3445,516,192,74,1418,601,459,1194,1253,.257,.319,.340,.659,4567,168,86,354,125,18,387,.276,,
34,I,as C,1914,3680,,13708,12163,1087,2953,423,147,42,1153,269,186,1140,1429,.243,.311,.312,.623,3796,198,97,216,92,100,314,.270,,
35,I,at Def. Pos.,1914,3680,,59637,52267,6139,13418,2022,719,249,5089,2089,1726,5118,5135,.257,.326,.337,.663,17625,700,462,1376,414,168,1453,.278,,
36,I,at Off. Pos.,1914,3680,,64686,57073,7260,15155,2254,937,418,6325,2448,1954,5265,6053,.266,.330,.360,.690,20537,640,505,1312,530,103,1556,.288,,
37,I,as LF,1914,3680,,15687,13746,1820,3711,555,252,105,1479,645,516,1375,1359,.270,.339,.370,.709,5085,130,125,323,118,14,380,.291,,
38,I,as PH,1914,1803,,2932,2583,241,617,100,26,12,336,47,16,276,506,.239,.316,.312,.628,805,36,28,19,26,10,57,.289,,
39,,as PR,1914,,,,,161,,,,,,31,16,,,,,,,,,,,,,,,,
40,I,as RF,1914,3680,,15722,13819,1856,3764,542,262,121,1428,629,519,1379,1563,.272,.342,.376,.718,5193,127,137,272,115,29,341,.297,,
41,I,as SS,1914,3680,,15009,13228,1492,3227,438,165,40,1165,565,471,1174,1272,.244,.309,.311,.620,4115,187,114,386,107,9,395,.265,,
42,I,as CF,1914,3680,,15639,13682,1861,3810,606,234,101,1444,691,543,1378,1358,.278,.347,.379,.726,5187,153,120,348,111,34,386,.301,,
